Final recommended category,category_name,Important secondary tags (dimensions),Conceptual definition,Adjectives assigned,Validation note (how this aligns with literature)
Warm–Affiliative,Warmth,"IPC: Communion/Warmth ↑, Agency ↔︎/↓; Big Five: Agreeableness/Extraversion overlap; SCM: Warmth ↑","Interpersonally welcoming, pleasant, and approachable (affiliation without necessarily helping).","Affable, Agreeable, Companionable, Friendly, Good-natured, Hospitable, Kind, Kind-hearted, Neighborly, Pleasant, Warm, Welcoming, Approachable","The IPC organizes interpersonal dispositions around Communion (warm–trusting vs cold–wary) and Agency (kennethlocke.org); these adjectives sit squarely on the warm/communion side. IAS-R work explicitly treats interpersonal adjectives as points in a circumplex (PubMed), and the IPC/“interpersonal circle” is closely tied to Big Five Extraversion & Agreeableness . Warmth is also a primary social-evaluative dimension in person perception (PubMed)."
Compassionate–Supportive,Compassion,IPC: Communion ↑; BFAS: Agreeableness–Compassion ↑; Prosocial,"Emotionally supportive/helping stance: empathic concern, tenderness, understanding.","Appreciative, Charitable, Concerned, Considerate, Cooperative, Empathetic, Gentle, Gentlehearted, Helpful, Sympathetic, Tender, Tenderhearted, Understanding","DeYoung et al.’s BFAS separates Agreeableness into Compassion vs Politeness, and describes Compassion as “affiliat[ing] with others emotionally” and taking interest in others’ emotions —precisely the content of empathetic/tender/supportive terms. This cluster is also strongly “communion” in the IPC sense (kennethlocke.org)."
Polite–Respectful,Politeness,BFAS: Agreeableness–Politeness ↑; Norm adherence / civility,"Respectful, courteous, well-mannered conduct (rule-governed interpersonal consideration).","Courteous, Polite, Respectful, Well-mannered, Gracious","BFAS Politeness contrasts respecting others vs pursuing one’s own desires “at the expense of others… even to the point of belligerence” , matching polite/courteous/respectful terms. This captures a normative/civility facet distinct from empathic Compassion ."
Cold–Detached,Coldness,"IPC: Communion ↓, Agency ↔︎; Low warmth","Low interpersonal warmth/connection (distance, impersonal stance), not necessarily hostile.","Aloof, Cold, Distant, Impersonal, Indifferent, Warmthless, Unsmiling","IPC’s communion axis explicitly spans warm/trusting ↔ cold/wary (kennethlocke.org), and IAS-R conceptualizes interpersonal adjectives in that circumplex space (PubMed). These terms indicate low warmth (detachment) more than active antagonism, aligning with “cold” evaluations in person perception research on warmth (PubMed)."
Callous–Unsympathetic,Callousness,BFAS: Agreeableness–Compassion ↓; Dark traits (overlap),"Low empathy/concern; harsh, unfeeling stance (often morally loaded).","Callous, Coldhearted, Dissocial, Inconsiderate, Insensitive, Uncharitable, Unsympathetic","These map to low Compassion (Agreeableness aspect) as defined by emotional affiliation/interest in others’ feelings . They also overlap with “socially malevolent” content (emotional coldness) described in Dark Triad work (Psychology Department - UBC), which Paulhus & Williams show shares low Agreeableness as a common correlate (Psychology Department - UBC)."
Rude–Disrespectful,Rudeness,BFAS: Politeness ↓; Antagonism,Violations of civility/etiquette; overt interpersonal disrespect.,"Disrespectful, Impolite, Uncivil","This is the direct inverse of BFAS Politeness, which contrasts respect for others with belligerent/others-disregarding conduct . Keeping it separate from “cold” avoids mixing mere detachment with norm-violating antagonism."
Assertive–Confident,Assertiveness,IPC: Agency ↑; BFAS: Extraversion–Assertiveness ↑,"Decisive, self-assured agency in interaction (taking initiative without necessarily controlling others).","Assertive, Convinced, Decisive, Firm, Self-assured, Self-confident, Strong-minded","IPC Agency spans confident/assertive ↔ meek/submissive (kennethlocke.org). BFAS explicitly includes an Assertiveness aspect of Extraversion , and Trapnell & Wiggins connect IAS-R dominance (DOM) to Extraversion measures , supporting an assertive/confident cluster."
Controlling–Domineering,Dominance,"IPC: Agency ↑, Communion ↓; Coercive dominance","High-control, force-imposing interpersonal stance (dominance used to direct others).","Controlling, Dominant, Forceful, Domineering, Overbearing",IPC locates interpersonal styles as blends of agency and communion (kennethlocke.org) and trait descriptors often reflect factor blends rather than pure factors . “Domineering/overbearing” are classic high agency interpersonal descriptors; their coercive edge implies reduced communion (hence secondary tag).
Hostile–Aggressive,Aggression,IPC: Agency ↑ + Communion ↓ (hostile-dominant quadrant); Antagonism,"Overt interpersonal hostility/aggression (harm/retaliation, cruelty).","Aggressive, Cruel, Ruthless, Vindictive","Dark Triad theory explicitly notes socially malevolent tendencies including aggressiveness and emotional coldness (Psychology Department - UBC), and shows overlap with disagreeableness (Psychology Department - UBC), supporting bundling of aggression/cruelty/vindictiveness as a hostile-antagonistic cluster."
Passive–Inhibited (socially unsure),Inhibition,IPC: Agency ↓; BFAS: Neuroticism–Withdrawal ↑; Social anxiety/low confidence,"Low initiative due to inhibition/shyness/uncertainty (quiet, hesitant).","Bashful, Indecisive, Inhibited, Passive, Shy, Timid, Unassertive, Doubting, Self-doubting",IPC Agency runs from assertive to meek/submissive (kennethlocke.org). Trapnell & Wiggins note that adjectives like self-confident/self-assured vs shy/bashful relate to social confidence/anxiety and show relations with Extraversion and Neuroticism —supporting an inhibited/uncertain cluster distinct from principled “humility.”
